GN_ID,Gene_Name,log2FC(insoluble/soluble protein ratio),-LOG10(P-VALUE),Prefix,UniProt_ID,UniProt_Name,Direction
Serpina1a_sp|P07758|A1AT1_MOUSE,Serpina1a,1.04936028299505,3.10384843706171,Serpina1a_sp,P07758,A1AT1_MOUSE,up
Serpina1c_sp|Q00896|A1AT3_MOUSE,Serpina1c,1.03477279075487,3.04041396986178,Serpina1c_sp,Q00896,A1AT3_MOUSE,up
Serpina3k_sp|P07759|SPA3K_MOUSE,Serpina3k,1.25388549797887,2.75921421191404,Serpina3k_sp,P07759,SPA3K_MOUSE,up
Pdcd5_sp|P56812|PDCD5_MOUSE,Pdcd5,1.47620121405383,2.68837343106473,Pdcd5_sp,P56812,PDCD5_MOUSE,up
S100a11_sp|P50543|S10AB_MOUSE,S100a11,1.7051267429244,2.48718427357592,S100a11_sp,P50543,S10AB_MOUSE,up
Fxyd1_sp|Q9Z239|PLM_MOUSE,Fxyd1,1.11299782420626,2.33449177758665,Fxyd1_sp,Q9Z239,PLM_MOUSE,up
S100a6_sp|P14069|S10A6_MOUSE,S100a6,1.12802325351138,2.25584269919446,S100a6_sp,P14069,S10A6_MOUSE,up
Serpina1b_sp|P22599|A1AT2_MOUSE,Serpina1b,1.04020251296526,2.22614661423116,Serpina1b_sp,P22599,A1AT2_MOUSE,up
S100a13_sp|P97352|S10AD_MOUSE,S100a13,1.32550444664911,2.1740103826441,S100a13_sp,P97352,S10AD_MOUSE,up
Mup1_sp|P11588|MUP1_MOUSE,Mup1,2.30315285121059,2.1368412669366,Mup1_sp,P11588,MUP1_MOUSE,up
Mup7_tr|E9QA79|E9QA79_MOUSE,Mup7,2.30315285121051,2.13684126693643,Mup7_tr,E9QA79,E9QA79_MOUSE,up
Serpina1e_sp|Q00898|A1AT5_MOUSE,Serpina1e,1.11995558576807,2.12571755552983,Serpina1e_sp,Q00898,A1AT5_MOUSE,up
Ugdh_sp|O70475|UGDH_MOUSE,Ugdh,1.15620157019101,2.08439925256844,Ugdh_sp,O70475,UGDH_MOUSE,up
Mup10_tr|A2BIN1|A2BIN1_MOUSE,Mup10,2.59649242167516,2.06666505473421,Mup10_tr,A2BIN1,A2BIN1_MOUSE,up
Apoa2_sp|P09813|APOA2_MOUSE,Apoa2,3.31955711332542,1.92755651399942,Apoa2_sp,P09813,APOA2_MOUSE,up
Acyp1_sp|P56376|ACYP1_MOUSE,Acyp1,1.04048646477901,1.89862903622568,Acyp1_sp,P56376,ACYP1_MOUSE,up
S100a11_sp|P50543|S10AB_MOUSE,S100a11,1.43304984666286,1.88639968407722,S100a11_sp,P50543,S10AB_MOUSE,up
Sepw1_sp|P63300|SELW_MOUSE,Sepw1,1.00005272638138,1.83596527230087,Sepw1_sp,P63300,SELW_MOUSE,up
Hrnr_sp|Q8VHD8|HORN_MOUSE,Hrnr,2.91887269100495,1.78943217689568,Hrnr_sp,Q8VHD8,HORN_MOUSE,up
Cd34_sp|Q64314|CD34_MOUSE,Cd34,1.37746622433598,1.78581325659672,Cd34_sp,Q64314,CD34_MOUSE,up
Prpsap1_sp|Q9D0M1|KPRA_MOUSE,Prpsap1,-1.17142960930304,5.6814350901658,Prpsap1_sp,Q9D0M1,KPRA_MOUSE,down
Prpsap2_sp|Q8R574|KPRB_MOUSE,Prpsap2,-1.10787968827659,3.96276661195102,Prpsap2_sp,Q8R574,KPRB_MOUSE,down
NA_sp|P03977|KV3A4_MOUSE,,-2.00867991556942,3.41338820308005,NA_sp,P03977,KV3A4_MOUSE,down
Flot1_sp|O08917|FLOT1_MOUSE,Flot1,-1.98806666329047,3.24223430377068,Flot1_sp,O08917,FLOT1_MOUSE,down
NA_sp|P03977|KV3A4_MOUSE,,-1.70626488929669,3.22086097692237,NA_sp,P03977,KV3A4_MOUSE,down
Igha_tr|A0A075B6A3|A0A075B6A3_MOUSE,Igha,-2.04374277786365,2.81822356230719,Igha_tr,A0A075B6A3,A0A075B6A3_MOUSE,down
Minpp1_sp|Q9Z2L6|MINP1_MOUSE,Minpp1,-1.01698865461708,2.77467603647424,Minpp1_sp,Q9Z2L6,MINP1_MOUSE,down
Cav1_sp|P49817|CAV1_MOUSE,Cav1,-2.41898616319806,2.76833927958725,Cav1_sp,P49817,CAV1_MOUSE,down
Igha_tr|A0A075B6A3|A0A075B6A3_MOUSE,Igha,-1.84434445834674,2.70688610832973,Igha_tr,A0A075B6A3,A0A075B6A3_MOUSE,down
Fnbp1_tr|A2AQ43|A2AQ43_MOUSE,Fnbp1,-1.5787183887677,2.6619344539318,Fnbp1_tr,A2AQ43,A2AQ43_MOUSE,down
Trak1_sp|Q6PD31|TRAK1_MOUSE,Trak1,-1.35486524822161,2.53178668626281,Trak1_sp,Q6PD31,TRAK1_MOUSE,down
Fnbp1_tr|A2AQ43|A2AQ43_MOUSE,Fnbp1,-1.38473971476823,2.49340030403341,Fnbp1_tr,A2AQ43,A2AQ43_MOUSE,down
Cox4i2_sp|Q91W29|COX42_MOUSE,Cox4i2,-1.38520085952827,2.42269833742507,Cox4i2_sp,Q91W29,COX42_MOUSE,down
Ccdc90b_sp|Q8C3X2|CC90B_MOUSE,Ccdc90b,-1.51773549979925,2.30871251980596,Ccdc90b_sp,Q8C3X2,CC90B_MOUSE,down
Igj_sp|P01592|IGJ_MOUSE,Igj,-1.05319235963166,2.23092638609119,Igj_sp,P01592,IGJ_MOUSE,down
Camk2a_sp|P11798|KCC2A_MOUSE,Camk2a,-1.06970539210468,2.22209978768497,Camk2a_sp,P11798,KCC2A_MOUSE,down
Apcs_sp|P12246|SAMP_MOUSE,Apcs,-2.4631023684906,2.21964481611713,Apcs_sp,P12246,SAMP_MOUSE,down
Erlin1_sp|Q91X78|ERLN1_MOUSE,Erlin1,-3.28941270965024,2.18748185598474,Erlin1_sp,Q91X78,ERLN1_MOUSE,down
Erlin2_sp|Q8BFZ9|ERLN2_MOUSE,Erlin2,-3.09802173779618,2.1820302409212,Erlin2_sp,Q8BFZ9,ERLN2_MOUSE,down
Camk2a_sp|P11798-2|KCC2A_MOUSE,Camk2a,-1.16078632329461,2.10262263333986,Camk2a_sp,P11798-2,KCC2A_MOUSE,down
